,ptcl1opt,ptcl1.5opt,ptcl2opt,ptcl2.5opt,ptcl3opt,ptcl3.5opt,ptcl4opt,ptcl4.5opt,ptcl5opt,ptcl5.5opt,ptcl6opt,ptcl6.5opt,ptcl7opt,ptcl7.5opt,ptcl8opt,ptcl8.5opt,ptcl9opt,ptcl9.5opt,ptcl10opt,ptcl10.5opt,ptcl11opt,ptcl11.5opt,ptcl12opt,ptcl12.5opt,ptcl13opt,ptcl13.5opt,ptcl14opt,ptcl14.5opt,ptcl15opt,ptcl15.5opt,ptcl16opt,ptcl16.5opt,ptcl17opt,ptcl17.5opt,ptcl18opt,ptcl18.5opt,ptcl19opt,ptcl19.5opt,ptcl20opt,ptcl20.5opt,ptcl21opt,ptcl21.5opt,ptcl22opt,ptcl22.5opt,ptcl23opt,ptcl23.5opt,ptcl24opt,ptcl24.5opt,ptcl25opt,ptcl25.5opt,ptcl26opt,ptcl26.5opt,ptcl27opt,ptcl27.5opt,ptcl28opt,ptcl28.5opt,ptcl29opt,ptcl29.5opt,ptcl30opt,ptcl30.5opt,ptcl31opt,ptcl31.5opt,ptcl32opt,ptcl32.5opt,ptcl33opt,ptcl33.5opt,ptcl34opt,ptcl34.5opt,ptcl35opt,ptcl35.5opt,ptcl36opt,ptcl36.5opt,ptcl37opt,ptcl37.5opt,ptcl38opt,ptcl38.5opt,ptcl39opt,ptcl39.5opt,ptcl40opt,ptcl40.5opt,ptcl41opt,ptcl41.5opt,ptcl42opt,ptcl42.5opt,ptcl43opt,ptcl43.5opt,ptcl44opt,ptcl44.5opt,ptcl45opt,ptcl45.5opt,ptcl46opt,ptcl46.5opt,ptcl47opt,ptcl47.5opt,ptcl48opt,ptcl48.5opt,ptcl49opt,ptcl49.5opt,ptcl50opt,ptcl50.5opt,ptcl51opt,ptcl51.5opt,ptcl52opt,ptcl52.5opt,ptcl53opt,ptcl53.5opt,ptcl54opt,ptcl54.5opt,ptcl55opt,ptcl55.5opt,ptcl56opt,ptcl56.5opt,ptcl57opt,ptcl57.5opt,ptcl58opt,ptcl58.5opt,ptcl59opt,ptcl59.5opt,ptcl60opt,ptcl60.5opt,ptcl61opt,ptcl61.5opt,ptcl62opt,ptcl62.5opt,ptcl63opt,ptcl63.5opt,ptcl64opt,ptcl64.5opt
0,22.29200216,58.33055556,11.37807046,15.77361111,17.83177083,58.01138889,0.260067122,0.594722222,15.63506662,28.23777778,6.084979835,32.81027778,10.89426259,46.45972222,25.04431821,47.90916667,43.62337874,195.7588889,53.47506063,155.9830556,4.952225403,9.743055556,6.5618031,10.545,37.35386577,45.89444444,39.69501615,60.17611111,11.54918811,182.2788889,34.43798757,93.92138889,143.3689936,318.3391667,9.063808707,20.38694444,16.88991329,43.11333333,35.9780544,211.8561111,7.236406866,53.87583333,26.11020076,56.67694444,4.369406208,62.53861111,10.02075811,105.2597222,12.2139027,34.13333333,12.40151921,17.10916667,49.123825,145.8313889,35.57542007,186.1558333,77.41313025,189.0705556,0.339118411,0.339166667,2.093007286,5.083055556,-1.0,-1.0,79.26873653,134.9669444,32.24212374,167.0088889,55.09575075,127.2205556,5.18878802,6.972777778,22.93703225,109.3863889,4.931833931,25.345,6.41485817,23.14027778,15.34500277,37.79,16.08099409,50.45611111,1.537969168,1.538055556,5.3080051,6.986111111,20.22006225,26.57055556,4.106330566,4.321666667,5.543564508,5.605,4.193017707,10.20888889,22.15086834,49.53,8.860443473,10.61805556,103.5187411,275.2208333,222.425822,407.9469444,7.609840905,20.18027778,0.651064005,109.9177778,67.89190727,98.04083333,16.89981919,28.57555556,8.281450041,19.94388889,12.53481721,40.90805556,7.318684985,9.446388889,16.17819286,24.93833333,55.07267439,104.8941667,18.22614473,39.53527778,0.0,0.493055556,22.85985509,47.10861111,0.810568317,70.43416667
1,11.98543109,19.16833333,8.753408221,10.19,5.835545606,74.80194444,11.65233022,15.96611111,11.23538822,15.45527778,1.218227855,38.22305556,3.413735541,20.19027778,83.90960445,123.2988889,44.75792665,83.88611111,25.36831952,48.87472222,8.637142783,25.77694444,7.611448541,14.58388889,26.23940242,27.90555556,40.01211977,91.04388889,-1.0,-1.0,27.64248632,75.86972222,26.09895909,406.3911111,15.73943285,19.05166667,26.25517298,63.14611111,27.87013942,101.7486111,6.958428253,44.64638889,17.51607282,47.39666667,9.532413787,31.77083333,3.962916126,5.112222222,7.242817069,23.23111111,12.83347744,14.71277778,30.66397421,98.35416667,43.78560275,184.5191667,87.84118744,487.8908333,0.864965768,0.865,4.431606271,44.09611111,-1.0,-1.0,74.56424445,241.9880556,9.879662209,122.7175,-1.0,-1.0,0.845800057,0.928888889,27.52558421,85.56361111,9.311651491,9.363055556,8.829462743,10.20333333,-1.0,-1.0,11.15031699,17.98694444,4.129143928,4.129166667,10.33911769,11.95388889,13.43296052,46.53694444,2.623159183,4.278055556,6.753647569,8.735,-1.0,-1.0,17.79843417,44.66694444,12.55832268,18.19972222,123.6050182,349.1072222,178.1961859,464.3622222,4.914413941,10.61972222,7.79948463,72.86666667,86.69348032,149.5466667,5.75126777,33.31305556,3.748320429,19.41972222,11.5252733,58.46472222,4.793842965,5.544722222,16.57224372,32.09805556,36.68507314,48.65277778,17.4500214,37.63,-1.0,-1.0,20.29932044,31.47333333,0.090032256,69.43833333
2,11.73238994,17.0,21.04174636,33.44805556,3.859680898,5.087777778,17.70856472,21.59388889,14.29558921,39.61194444,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.00833257,61.26083333,44.50310436,149.6463889,11.01725543,25.52694444,20.85219297,67.135,34.69285561,46.22694444,43.2290558,90.78972222,-1.0,-1.0,44.8739855,89.91888889,27.99903718,157.9269444,20.83236041,23.51472222,19.65275647,28.60638889,-1.0,-1.0,4.425304699,51.68694444,27.77780155,59.80666667,5.78515011,11.16805556,12.40925682,27.61777778,7.808650217,80.82944444,15.81493562,18.33444444,31.06298758,79.60527778,37.62460117,68.48277778,-1.0,-1.0,0.69403379,0.694166667,1.021663486,40.64388889,-1.0,-1.0,34.77746482,71.23916667,8.503087164,163.0613889,-1.0,-1.0,7.174853395,26.5675,20.66921051,75.89972222,6.425265135,13.91527778,5.773119784,7.051111111,-1.0,-1.0,8.414744287,9.225,2.152494479,8.833333333,6.743532093,8.640277778,16.11749558,42.01472222,0.853388641,1.138055556,7.606081733,18.19277778,-1.0,-1.0,35.65677891,92.01472222,10.10678053,12.88472222,-1.0,-1.0,199.4234436,365.7519444,9.593035094,15.36888889,3.812439731,4.083888889,86.37554362,107.4369444,1.823330775,2.686666667,16.20150412,29.71,11.336309,44.67555556,2.409005547,2.850833333,6.452379365,58.90138889,42.85566833,104.605,20.6510544,38.88444444,-1.0,-1.0,21.07924117,77.68888889,0.927290151,69.25
3,12.09976853,63.13111111,17.52647266,28.87694444,3.01916367,4.849444444,23.27750614,28.91861111,22.07419146,60.41333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.74577498,84.73972222,59.5162954,133.6361111,8.853168153,10.27944444,-1.0,-1.0,75.59311198,136.0977778,28.78764354,59.19,-1.0,-1.0,42.85277316,60.495,32.38070185,82.57916667,15.33478604,16.75694444,0.603415136,4.624444444,-1.0,-1.0,3.987318689,23.91972222,35.81410268,140.6894444,-1.0,-1.0,-1.0,-1.0,10.95519395,44.22583333,-1.0,-1.0,30.85487594,73.01277778,44.43791908,85.7275,-1.0,-1.0,2.695256379,4.112222222,12.51676299,39.12361111,-1.0,-1.0,81.91248927,198.7911111,-1.0,-1.0,-1.0,-1.0,0.932592632,27.12277778,60.82373495,121.6102778,11.30639903,13.1825,7.454733508,9.643611111,-1.0,-1.0,10.14128473,10.17472222,1.939931342,4.8675,8.276209131,11.68527778,-1.0,-1.0,3.266683827,4.158055556,8.815318998,20.98138889,-1.0,-1.0,47.71286398,65.56638889,9.371316349,13.81888889,-1.0,-1.0,204.0802075,338.0019444,8.86608504,17.17416667,4.378763956,6.2775,82.24298069,114.6963889,4.213155563,4.213333333,5.486020232,7.138055556,-1.0,-1.0,9.815872838,16.60666667,5.299068302,9.2025,-1.0,-1.0,14.19102779,20.23833333,-1.0,-1.0,16.20849504,45.39222222,1.030563939,1.038888889
4,16.42932207,17.09444444,-1.0,-1.0,3.408924169,23.26111111,6.571709228,7.741666667,18.80961802,209.405,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.31857046,72.83861111,94.64245408,259.5216667,20.42244332,24.27277778,-1.0,-1.0,33.89075134,96.69083333,41.69587043,70.82361111,-1.0,-1.0,26.64987523,63.58944444,273.2429753,360.1388889,26.48983607,28.49833333,22.49040093,33.98166667,-1.0,-1.0,3.059264506,16.35777778,14.44859722,37.84583333,-1.0,-1.0,-1.0,-1.0,21.20262667,101.7594444,-1.0,-1.0,21.20056172,37.39472222,93.41743108,137.0405556,-1.0,-1.0,2.322862833,2.438888889,11.83581719,23.32861111,-1.0,-1.0,50.91320741,159.3588889,-1.0,-1.0,-1.0,-1.0,8.424036962,16.72944444,38.51762729,117.5938889,1.98321989,56.07916667,12.19419494,16.13861111,-1.0,-1.0,7.484514645,8.397222222,2.7244242,5.054722222,10.45951806,13.71555556,-1.0,-1.0,1.406232207,1.492777778,9.72022699,13.78444444,-1.0,-1.0,18.0308025,33.18638889,9.052825222,16.55805556,-1.0,-1.0,110.9943415,356.15,7.184008671,10.42277778,2.921288477,5.616388889,115.4288244,169.1647222,3.62114301,5.343611111,18.22806562,42.32444444,-1.0,-1.0,15.05914201,16.76388889,32.39975811,87.725,-1.0,-1.0,16.11127645,19.105,-1.0,-1.0,0.929444859,6.481388889,0.503874794,3.130277778
5,15.71750222,16.37305556,-1.0,-1.0,9.853095665,51.26,12.76838277,14.86222222,37.76067572,221.6558333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.55695977,152.8777778,65.8502589,261.7969444,-1.0,-1.0,-1.0,-1.0,44.3666804,179.835,-1.0,-1.0,-1.0,-1.0,14.70704463,29.82694444,-1.0,-1.0,13.94010663,15.62166667,16.86822308,34.69527778,-1.0,-1.0,3.214814549,21.90277778,44.87502832,77.34777778,-1.0,-1.0,-1.0,-1.0,14.42417332,55.66916667,-1.0,-1.0,26.86703187,46.55111111,42.79551352,72.17027778,-1.0,-1.0,0.4241305,0.531666667,19.2025181,41.68694444,-1.0,-1.0,120.2292156,274.9994444,-1.0,-1.0,-1.0,-1.0,0.574179603,1.264722222,57.48969525,114.8311111,2.972083848,4.311666667,15.30924454,20.04527778,-1.0,-1.0,11.08660088,36.63361111,2.373543972,2.373611111,12.3587375,14.02138889,-1.0,-1.0,0.743990882,0.744166667,8.193061237,20.12555556,-1.0,-1.0,17.94381555,62.76888889,9.575973103,33.07305556,-1.0,-1.0,0.103452821,484.055,7.550118009,9.769166667,6.032836038,11.81055556,183.8516496,253.1780556,13.92119842,21.62805556,23.14527676,23.14527778,-1.0,-1.0,1.819039612,2.75,40.43392713,88.91777778,-1.0,-1.0,55.02236455,138.955,-1.0,-1.0,40.23837577,130.6208333,0.089358923,1.379444444
6,8.852850914,14.63166667,-1.0,-1.0,18.14190113,24.57888889,25.36940835,36.9375,12.85142613,29.99111111,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.27187879,82.55777778,30.11664192,249.7166667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.04043773,77.51166667,-1.0,-1.0,9.043759762,9.203055556,20.55087002,103.29,-1.0,-1.0,3.051264072,30.22222222,28.66436949,46.43444444,-1.0,-1.0,-1.0,-1.0,17.88786043,41.39888889,-1.0,-1.0,28.69055437,66.2875,40.56708566,89.63722222,-1.0,-1.0,0.174841369,0.175,2.552460195,6.786111111,-1.0,-1.0,66.81997539,130.9344444,-1.0,-1.0,-1.0,-1.0,11.67695672,15.16444444,36.20791708,69.37694444,3.804126556,14.33805556,2.244298103,3.072222222,-1.0,-1.0,9.64043513,13.66138889,2.909593122,6.461388889,6.918151033,8.972777778,-1.0,-1.0,3.700755641,6.410555556,21.79633215,38.41472222,-1.0,-1.0,36.44355819,211.7013889,9.984247207,21.87777778,-1.0,-1.0,144.2537366,414.1822222,19.86386617,41.08277778,3.154034007,3.371666667,310.0917383,395.8772222,12.60993167,13.39138889,25.16276607,30.97777778,-1.0,-1.0,3.500740451,50.46166667,33.83166156,76.04972222,-1.0,-1.0,41.47992469,121.16,-1.0,-1.0,33.49567671,55.96416667,2.716005292,2.718888889
7,19.07710095,23.69722222,-1.0,-1.0,25.5430359,36.51916667,-1.0,-1.0,24.74694037,51.23833333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.69000441,245.0877778,53.67485701,284.6005556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.722388403,12.01388889,-1.0,-1.0,12.11395661,16.25888889,19.81662178,33.45583333,-1.0,-1.0,9.94985749,81.23916667,40.50953925,64.20916667,-1.0,-1.0,-1.0,-1.0,17.32238398,63.67277778,-1.0,-1.0,40.62829222,69.41222222,33.79126905,81.43138889,-1.0,-1.0,2.203158397,3.494166667,3.556455886,8.728888889,-1.0,-1.0,52.70211874,103.1369444,-1.0,-1.0,-1.0,-1.0,0.8112295,0.956666667,35.37854321,68.73694444,5.460224191,29.63333333,-1.0,-1.0,-1.0,-1.0,8.525792308,9.328888889,3.592175204,3.592222222,11.76738895,16.41194444,-1.0,-1.0,0.966962587,1.092222222,11.57784634,17.53444444,-1.0,-1.0,32.43203893,172.6575,15.13504079,16.03916667,-1.0,-1.0,123.3665455,218.2291667,-1.0,-1.0,-1.0,-1.0,319.2811742,379.1388889,1.476944452,1.633888889,13.12293106,19.26444444,-1.0,-1.0,3.375100183,92.34166667,19.60601716,97.21527778,-1.0,-1.0,39.92698876,103.8980556,-1.0,-1.0,28.39370711,49.28666667,0.602590368,0.607222222
8,27.78476044,45.95722222,-1.0,-1.0,3.05088012,3.774444444,-1.0,-1.0,17.5871217,162.7947222,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.718285669,40.15777778,-1.0,-1.0,8.760377524,18.54555556,30.57268746,106.32,-1.0,-1.0,7.501282473,26.18527778,39.37981818,91.78611111,-1.0,-1.0,-1.0,-1.0,34.61564656,68.5025,-1.0,-1.0,25.18077484,39.86888889,40.10477255,208.9933333,-1.0,-1.0,2.87846678,4.586944444,-1.0,-1.0,-1.0,-1.0,55.88261366,90.03277778,-1.0,-1.0,-1.0,-1.0,6.393405717,19.85138889,32.97412996,62.28777778,3.356552098,8.868888889,-1.0,-1.0,-1.0,-1.0,9.988717815,16.02,2.760903283,21.11888889,15.44464076,50.42,-1.0,-1.0,0.506181625,1.5675,10.40506793,11.37944444,-1.0,-1.0,27.86809004,253.1594444,16.00037591,39.74027778,-1.0,-1.0,174.9870556,315.4994444,-1.0,-1.0,-1.0,-1.0,315.1708522,332.9386111,15.3874491,67.45472222,1.992714307,1.992777778,-1.0,-1.0,19.57276565,49.37055556,21.69813967,75.55944444,-1.0,-1.0,57.54023816,110.6205556,-1.0,-1.0,29.79898413,43.75611111,1.415596581,1.418888889
9,-1.0,-1.0,-1.0,-1.0,13.0668341,15.53361111,-1.0,-1.0,15.6370273,33.55138889,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.93037728,62.71361111,-1.0,-1.0,15.8714157,18.64222222,8.871385956,19.06277778,-1.0,-1.0,4.838067024,37.37083333,2.60128508,18.06833333,-1.0,-1.0,-1.0,-1.0,14.11613503,34.69666667,-1.0,-1.0,45.78973381,64.17194444,52.84874973,119.0422222,-1.0,-1.0,1.947024836,1.947222222,-1.0,-1.0,-1.0,-1.0,40.07964076,294.8525,-1.0,-1.0,-1.0,-1.0,1.428981117,8.960833333,28.09195675,51.22916667,2.288968028,5.988888889,-1.0,-1.0,-1.0,-1.0,6.908815503,12.85055556,2.954294337,4.138055556,7.588669059,9.006111111,-1.0,-1.0,1.171683658,1.181388889,15.04744034,31.91416667,-1.0,-1.0,20.85727266,172.7697222,9.586802931,44.29138889,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.59258087,28.51305556,4.019452508,28.51194444,5.747983506,8.149722222,-1.0,-1.0,2.098730523,2.098888889,33.94461722,52.24361111,-1.0,-1.0,16.13607891,28.37888889,-1.0,-1.0,53.15660291,82.05583333,3.67581883,3.681388889
